,Parent High Court,Bar_x,Service_x,Total_x,Bar_y,Service_y,Total_y
0,Allahabad,6.0,10.0,16.0,169.0,164.0,333.0
1,Andhra Pradesh,4.0,3.0,7.0,58.0,30.0,88.0
2,Bombay,7.0,7.0,14.0,69.0,49.0,118.0
3,Calcutta,6.0,4.0,10.0,60.0,29.0,89.0
4,Chhattisgarh,0.0,2.0,2.0,15.0,11.0,26.0
5,Delhi,9.0,13.0,22.0,57.0,45.0,102.0
6,Gauhati,1.0,2.0,3.0,54.0,27.0,81.0
7,Gujarat,5.0,4.0,9.0,46.0,46.0,92.0
8,Himachal Pradesh,4.0,0.0,4.0,15.0,13.0,28.0
9,Hyderabad,0.0,0.0,0.0,3.0,1.0,4.0
10,J&K and Ladakh,1.0,0.0,1.0,19.0,8.0,27.0
11,Jharkhand,2.0,0.0,2.0,18.0,20.0,38.0
12,Karnataka,3.0,8.0,11.0,75.0,52.0,127.0
13,Kerala,2.0,6.0,8.0,58.0,32.0,90.0
14,Madhya Pradesh,2.0,4.0,6.0,73.0,45.0,118.0
15,Madras,6.0,13.0,19.0,71.0,35.0,106.0
16,Manipur,0.0,0.0,0.0,2.0,2.0,4.0
17,Meghalaya,0.0,0.0,0.0,1.0,1.0,2.0
18,Orissa,3.0,0.0,3.0,34.0,26.0,60.0
19,Patna,7.0,0.0,7.0,47.0,29.0,76.0
20,Punjab and Haryana,1.0,3.0,4.0,42.0,18.0,60.0
21,Rajasthan,0.0,0.0,0.0,33.0,7.0,40.0
22,Sikkim,0.0,1.0,1.0,6.0,1.0,7.0
23,Telangana,0.0,0.0,0.0,4.0,0.0,4.0
24,Tripura,0.0,0.0,0.0,1.0,1.0,2.0
25,Uttarakhand,0.0,0.0,0.0,14.0,12.0,26.0
