apt_year,Gender,value
1980,female,0.0
1994,female,7.0
1995,female,2.0
1996,female,2.0
1997,female,1.0
1998,female,1.0
1999,female,3.0
2000,female,3.0
2001,female,3.0
2002,female,4.0
2003,female,2.0
2004,female,12.0
2005,female,7.0
2006,female,8.0
2007,female,3.0
2008,female,3.0
2009,female,6.0
2010,female,2.0
2011,female,5.0
2012,female,4.0
2013,female,7.0
2014,female,8.0
2015,female,5.0
2016,female,10.0
2017,female,14.0
2018,female,11.0
2019,female,6.0
2020,female,11.0
2021,female,2.0
2028,female,0.0
1980,male,1.0
1994,male,161.0
1995,male,61.0
1996,male,59.0
1997,male,47.0
1998,male,12.0
1999,male,95.0
2000,male,44.0
2001,male,53.0
2002,male,89.0
2003,male,37.0
2004,male,98.0
2005,male,65.0
2006,male,90.0
2007,male,48.0
2008,male,65.0
2009,male,72.0
2010,male,32.0
2011,male,74.0
2012,male,33.0
2013,male,99.0
2014,male,56.0
2015,male,28.0
2016,male,111.0
2017,male,84.0
2018,male,83.0
2019,male,61.0
2020,male,47.0
2021,male,11.0
2028,male,1.0
