Parent High Court,Bar,Service,Total
Allahabad,169.0,164.0,333.0
Andhra Pradesh,58.0,30.0,88.0
Bombay,69.0,49.0,118.0
Calcutta,60.0,29.0,89.0
Chhattisgarh,15.0,11.0,26.0
Delhi,57.0,45.0,102.0
Gauhati,54.0,27.0,81.0
Gujarat,46.0,46.0,92.0
Himachal Pradesh,15.0,13.0,28.0
Hyderabad,3.0,1.0,4.0
J&K and Ladakh,19.0,8.0,27.0
Jharkhand,18.0,20.0,38.0
Karnataka,75.0,52.0,127.0
Kerala,58.0,32.0,90.0
Madhya Pradesh,73.0,45.0,118.0
Madras,71.0,35.0,106.0
Manipur,2.0,2.0,4.0
Meghalaya,1.0,1.0,2.0
Orissa,34.0,26.0,60.0
Patna,47.0,29.0,76.0
Punjab and Haryana,42.0,18.0,60.0
Rajasthan,33.0,7.0,40.0
Sikkim,6.0,1.0,7.0
Telangana,4.0,0.0,4.0
Tripura,1.0,1.0,2.0
Uttarakhand,14.0,12.0,26.0
